"APT","campaign","vulnerability","exploited_time","published_time","reserved_time","product","version","update","os"
"Darkhotel","298813","CVE-2014-0497","2014-02-01","2014-02-01","2013-12-01","flash_player","11.5.502.149","*","windows"
"APT37","298781","CVE-2014-8439","2016-05-01","2014-11-01","2014-10-01","flash_player","11.5.502.149","*","windows"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","11.5.502.149","*","windows"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","11.5.502.149","*","windows"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","11.5.502.149","*","windows"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","11.5.502.149","*","windows"
"APT37","298790","CVE-2015-3105","2015-07-01","2015-06-01","2015-04-01","flash_player","11.5.502.149","*","windows"
"APT37","298780","CVE-2016-4171","2016-03-01","2016-06-01","2016-04-01","flash_player","11.5.502.149","*","windows"
"APT28","298749","CVE-2015-3043","2015-04-01","2015-04-01","2015-04-01","flash_player","11.5.502.149","*","windows"
"APT28","298756","CVE-2015-7645","2015-10-01","2015-10-01","2015-10-01","flash_player","11.5.502.149","*","windows"
"APT37","298788","CVE-2015-7645","2016-06-01","2015-10-01","2015-10-01","flash_player","11.5.502.149","*","windows"
"BlackOasis","298794","CVE-2015-5119","2015-06-01","2015-07-01","2015-06-01","flash_player","11.5.502.149","*","windows"
"APT18","298739","CVE-2015-5119","2015-07-01","2015-07-01","2015-06-01","flash_player","11.5.502.149","*","windows"
"APT3","298765","CVE-2015-5119","2015-07-01","2015-07-01","2015-06-01","flash_player","11.5.502.149","*","windows"
"Threat Group-3390","298875","CVE-2015-5119","2015-08-01","2015-07-01","2015-06-01","flash_player","11.5.502.149","*","windows"
"APT37","298781","CVE-2015-5119","2016-05-01","2015-07-01","2015-06-01","flash_player","11.5.502.149","*","windows"
"Darkhotel","298814","CVE-2015-5119","2015-07-01","2015-07-01","2015-06-01","flash_player","11.5.502.149","*","windows"
"Lazarus Group","298827","CVE-2015-8651","2017-01-01","2015-12-01","2015-12-01","flash_player","11.5.502.149","*","windows"
"Darkhotel","298819","CVE-2015-8651","2015-11-01","2015-12-01","2015-12-01","flash_player","11.5.502.149","*","windows"
"APT3","298764","CVE-2015-3113","2015-06-01","2015-06-01","2015-04-01","flash_player","11.5.502.149","*","windows"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","13.0.0.252","*","windows_rt_8.1"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","10.3.183.90","*","*"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","10.3.183.90","*","*"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","18.0.0.329","*","windows_10"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","18.0.0.329","*","windows_10"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","18.0.0.329","*","windows_10"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","18.0.0.329","*","windows_10"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","18.0.0.329","*","windows_10"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","18.0.0.329","*","windows_10"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","11.0.1.152","*","*"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","11.0.1.152","*","*"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","9.0.124","*","*"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","9.0.124","*","*"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","13.0.0.182","*","windows_server_2012"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","9.0.277","*","*"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","9.0.277","*","*"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","10.3.183.11","*","windows_rt_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","8.0.24","*","windows_server_2012"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","11.2.202.637","*","windows_rt_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","10.3.181.22","*","windows_8.1"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","10.3.181.22","*","windows_8.1"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","10.3.181.22","*","windows_8.1"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","10.3.181.22","*","windows_8.1"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","10.3.181.22","*","windows_8.1"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","10.3.181.22","*","windows_8.1"
